order_status,payment_value,payment_installments,payment_sequential,payment_type,TIME_TO_CARRY,TIME_TO_DELIVER_ORDER,COMPARE_ESTIMATED_TO_DELIVERED_TIME,ESTIMATED_TIME_TO_DELIVERY,ORDER_PURCHASE_YEAR,ORDER_PURCHASE_MONTH,ORDER_PURCHASE_DAY,ORDER_PURCHASE_WEEKDAY
delivered,11835.00,5,1,credit_card,2,12,15,27,2018,6,16,Saturday
delivered,34158.00,1,1,credit_card,3,4,1,5,2018,7,28,Saturday
delivered,10542.00,2,1,credit_card,6,14,6,20,2017,11,28,Tuesday
delivered,299.00,1,3,voucher,1,2,23,25,2018,6,3,Sunday
delivered,9257.00,1,1,boleto,4,10,7,17,2018,5,7,Monday
delivered,15367.00,3,1,credit_card,14,22,5,27,2018,1,24,Wednseday
delivered,11945.00,5,1,credit_card,0,11,22,33,2018,6,28,Thursday
delivered,4423.00,1,1,credit_card,1,14,12,26,2018,8,1,Wednseday
delivered,6750.00,1,1,credit_card,3,25,8,33,2017,11,24,Friday
delivered,39697.00,1,1,credit_card,2,10,12,22,2018,7,23,Monday
delivered,18585.00,10,1,credit_card,1,2,8,10,2018,4,3,Tuesday
delivered,14399.00,1,1,credit_card,5,14,8,22,2018,3,15,Thursday
delivered,23227.00,8,1,credit_card,3,11,9,20,2018,8,3,Friday
delivered,19400.00,5,1,credit_card,3,6,34,40,2017,1,21,Saturday
delivered,26057.00,1,1,credit_card,2,7,20,27,2017,9,26,Tuesday
delivered,19655.00,3,1,credit_card,1,9,12,21,2017,9,13,Wednseday
delivered,21715.00,2,1,credit_card,0,23,26,49,2018,5,30,Wednseday
delivered,15228.00,4,1,credit_card,0,2,11,13,2017,6,27,Tuesday
delivered,8582.00,1,1,credit_card,9,20,11,31,2017,5,23,Tuesday
delivered,4117.00,1,1,credit_card,1,6,15,21,2017,8,23,Wednseday
delivered,44012.00,2,1,credit_card,16,27,-7,20,2017,5,20,Saturday
delivered,16851.00,1,1,boleto,0,10,10,20,2017,7,28,Friday
delivered,10959.00,10,1,credit_card,1,2,2,4,2018,8,20,Monday
delivered,20687.00,3,1,credit_card,0,13,12,25,2018,2,9,Friday
delivered,5606.00,1,1,credit_card,1,25,9,34,2018,1,2,Tuesday
delivered,25637.00,8,1,credit_card,1,9,17,26,2017,8,9,Wednseday
delivered,4784.00,1,1,credit_card,4,6,5,11,2018,8,9,Thursday
delivered,4239.00,1,1,credit_card,8,20,16,36,2017,4,19,Wednseday
delivered,11753.00,5,1,credit_card,1,8,19,27,2017,8,17,Thursday
delivered,14454.00,4,1,credit_card,2,9,16,25,2018,7,1,Sunday
delivered,4678.00,1,1,boleto,5,14,14,28,2017,10,11,Wednseday
delivered,398.00,1,8,voucher,1,12,8,20,2018,5,9,Wednseday
delivered,5010.00,1,1,boleto,1,6,9,15,2018,7,24,Tuesday
delivered,8579.00,1,1,boleto,1,11,0,11,2017,5,8,Monday
delivered,6370.00,1,1,boleto,5,11,16,27,2018,3,29,Thursday
delivered,158647.00,10,1,credit_card,3,28,4,32,2018,4,22,Sunday
delivered,43307.00,3,1,credit_card,3,8,15,23,2018,7,22,Sunday
delivered,38399.00,1,1,credit_card,5,10,11,21,2018,7,6,Friday
delivered,10735.00,5,1,credit_card,7,14,17,31,2017,5,29,Monday
delivered,28150.00,8,1,credit_card,2,9,22,31,2018,5,14,Monday
delivered,10226.00,2,1,credit_card,5,11,52,63,2016,10,5,Wednseday
delivered,9062.00,1,1,boleto,2,11,10,21,2018,3,7,Wednseday
delivered,4286.00,1,1,debit_card,4,8,3,11,2017,11,6,Monday
delivered,3570.00,1,1,credit_card,11,20,8,28,2017,5,19,Friday
delivered,44425.00,10,1,credit_card,3,7,13,20,2017,12,16,Saturday
delivered,6571.00,2,1,credit_card,2,16,15,31,2018,6,23,Saturday
delivered,10800.00,5,1,credit_card,0,14,18,32,2018,3,26,Monday
delivered,12577.00,6,1,credit_card,4,11,11,22,2017,8,10,Thursday
delivered,6242.00,1,1,credit_card,4,7,22,29,2017,12,7,Thursday
delivered,12668.00,1,1,boleto,1,9,10,19,2017,10,18,Wednseday
delivered,10778.00,4,1,credit_card,2,6,29,35,2018,5,8,Tuesday
delivered,10723.00,10,1,credit_card,0,5,15,20,2017,5,11,Thursday
delivered,2609.00,1,1,credit_card,1,2,12,14,2018,1,9,Tuesday
delivered,11785.00,10,1,credit_card,3,8,19,27,2018,7,3,Tuesday
delivered,20244.00,10,1,credit_card,1,8,9,17,2017,10,17,Tuesday
delivered,7303.00,1,1,boleto,0,7,17,24,2017,9,8,Friday
delivered,26467.00,4,1,credit_card,0,4,24,28,2017,7,17,Monday
delivered,9299.00,2,1,credit_card,1,7,21,28,2018,8,21,Tuesday
delivered,5838.00,1,1,credit_card,5,10,2,12,2018,3,8,Thursday
delivered,37194.00,5,1,credit_card,3,13,1,14,2017,10,31,Tuesday
delivered,66799.00,10,1,credit_card,1,8,20,28,2017,9,11,Monday
delivered,40866.00,8,1,credit_card,4,14,6,20,2017,10,12,Thursday
delivered,5166.00,5,1,credit_card,2,9,12,21,2018,8,6,Monday
delivered,38646.00,2,1,credit_card,3,5,8,13,2018,6,16,Saturday
delivered,2194.00,1,1,credit_card,3,23,10,33,2018,2,17,Saturday
delivered,11063.00,1,1,boleto,2,29,-4,25,2018,2,5,Monday
delivered,20055.00,5,1,credit_card,13,20,37,57,2017,1,25,Wednseday
delivered,5443.00,1,1,credit_card,4,17,15,32,2018,6,15,Friday
delivered,28008.00,1,1,boleto,2,16,21,37,2017,1,14,Saturday
delivered,10134.00,5,1,credit_card,2,10,9,19,2018,8,1,Wednseday
delivered,7602.00,1,1,boleto,0,19,1,20,2018,3,14,Wednseday
delivered,4816.00,4,1,credit_card,1,6,9,15,2018,1,17,Wednseday
delivered,26541.00,1,1,debit_card,3,6,4,10,2018,7,20,Friday
delivered,15015.00,5,1,credit_card,1,3,16,19,2018,7,4,Wednseday
delivered,3616.00,2,1,credit_card,5,26,1,27,2017,4,13,Thursday
delivered,19800.00,4,1,credit_card,2,3,10,13,2018,7,24,Tuesday
delivered,11240.00,5,1,credit_card,1,12,14,26,2017,7,5,Wednseday
delivered,22860.00,2,1,credit_card,3,7,18,25,2018,5,25,Friday
delivered,31421.00,8,1,credit_card,5,12,13,25,2017,10,12,Thursday
delivered,37424.00,7,1,credit_card,5,13,12,25,2017,12,1,Friday
delivered,2590.00,1,2,voucher,2,6,4,10,2018,8,21,Tuesday
delivered,4681.00,1,1,credit_card,4,29,-4,25,2017,11,2,Thursday
delivered,13147.00,1,1,boleto,3,7,17,24,2017,6,23,Friday
delivered,25871.00,3,1,credit_card,7,11,8,19,2018,5,10,Thursday
delivered,15673.00,10,1,credit_card,1,6,10,16,2017,9,13,Wednseday
delivered,6990.00,1,1,boleto,1,2,14,16,2018,4,11,Wednseday
delivered,18715.00,6,1,credit_card,4,18,8,26,2017,11,3,Friday
delivered,23681.00,4,1,credit_card,1,7,9,16,2018,3,7,Wednseday
delivered,6409.00,1,1,boleto,4,6,13,19,2018,5,3,Thursday
delivered,20543.00,5,1,credit_card,4,8,15,23,2018,1,1,Monday
delivered,8957.00,4,1,credit_card,16,22,15,37,2017,9,3,Sunday
delivered,6323.00,4,1,credit_card,1,2,7,9,2018,7,11,Wednseday
delivered,4169.00,1,1,boleto,1,8,17,25,2018,7,30,Monday
delivered,8849.00,5,1,credit_card,2,24,-4,20,2018,2,15,Thursday
delivered,39407.00,7,1,credit_card,1,3,1,4,2018,8,27,Monday
delivered,16550.00,2,1,credit_card,2,14,11,25,2017,2,6,Monday
delivered,9847.00,2,1,credit_card,1,7,22,29,2018,1,16,Tuesday
delivered,4977.00,2,1,credit_card,0,3,7,10,2018,5,18,Friday
delivered,18091.00,8,1,credit_card,2,4,19,23,2018,1,22,Monday
delivered,10021.00,1,1,boleto,2,9,1,10,2018,8,5,Sunday
delivered,12543.00,4,1,credit_card,1,9,10,19,2017,11,26,Sunday
delivered,5982.00,2,1,credit_card,2,9,14,23,2018,1,3,Wednseday
delivered,15903.00,3,1,credit_card,5,6,7,13,2017,8,31,Thursday
delivered,4277.00,4,1,credit_card,1,2,13,15,2018,6,14,Thursday
delivered,6762.00,2,1,credit_card,1,11,11,22,2017,11,16,Thursday
delivered,14318.00,3,1,credit_card,5,17,15,32,2017,8,26,Saturday
delivered,8592.00,1,1,boleto,2,4,12,16,2018,6,5,Tuesday
delivered,10205.00,4,1,credit_card,4,10,9,19,2017,3,4,Saturday
delivered,13412.00,3,1,credit_card,3,6,8,14,2017,7,4,Tuesday
delivered,7075.00,1,1,credit_card,8,10,11,21,2018,4,24,Tuesday
delivered,19704.00,1,1,credit_card,1,10,8,18,2017,11,20,Monday
delivered,2638.00,1,1,credit_card,0,17,14,31,2018,5,7,Monday
delivered,24696.00,8,1,credit_card,2,4,21,25,2017,7,31,Monday
delivered,2229.00,1,1,credit_card,8,15,20,35,2018,5,31,Thursday
delivered,33040.00,2,1,credit_card,2,4,18,22,2017,7,24,Monday
delivered,10868.00,1,1,boleto,4,11,15,26,2017,7,27,Thursday
delivered,31421.00,10,1,credit_card,6,24,4,28,2017,11,28,Tuesday
delivered,1948.00,1,1,boleto,2,13,24,37,2018,1,23,Tuesday
delivered,12109.00,2,1,credit_card,2,8,1,9,2018,8,19,Sunday
delivered,20676.00,1,1,credit_card,2,4,21,25,2018,5,26,Saturday
delivered,14221.00,1,1,credit_card,1,6,20,26,2017,9,21,Thursday
delivered,7262.00,1,1,credit_card,0,20,15,35,2017,12,20,Wednseday
delivered,8808.00,1,1,debit_card,1,22,9,31,2017,8,28,Monday
delivered,4300.00,1,1,credit_card,1,6,14,20,2017,10,17,Tuesday
delivered,15052.00,2,1,credit_card,4,6,6,12,2018,3,3,Saturday
delivered,31430.00,6,1,credit_card,4,7,23,30,2018,6,23,Saturday
delivered,9833.00,1,2,debit_card,7,28,1,29,2017,9,20,Wednseday
delivered,12877.00,4,1,credit_card,10,22,2,24,2017,3,6,Monday
delivered,4530.00,1,1,credit_card,2,3,5,8,2018,8,7,Tuesday
delivered,10379.00,1,2,voucher,3,5,18,23,2017,4,15,Saturday
delivered,11428.00,6,1,credit_card,4,10,14,24,2018,4,15,Sunday
delivered,5778.00,2,1,credit_card,1,13,15,28,2017,9,11,Monday
delivered,12415.00,1,1,credit_card,5,14,17,31,2017,2,25,Saturday
delivered,10427.00,5,1,credit_card,3,11,20,31,2017,3,24,Friday
delivered,5201.00,1,1,voucher,0,2,7,9,2018,4,30,Monday
delivered,3505.00,1,1,credit_card,5,8,11,19,2017,3,8,Wednseday
delivered,21562.00,4,1,credit_card,2,21,3,24,2018,2,17,Saturday
delivered,20620.00,3,1,credit_card,1,20,0,20,2018,5,16,Wednseday
delivered,2645.00,1,1,credit_card,0,75,-47,28,2018,1,19,Friday
delivered,22314.00,10,1,credit_card,1,8,15,23,2018,4,16,Monday
delivered,5641.00,2,1,credit_card,4,21,13,34,2018,5,5,Saturday
delivered,3941.00,2,1,credit_card,1,13,9,22,2017,6,20,Tuesday
delivered,6400.00,4,1,credit_card,2,5,12,17,2018,4,28,Saturday
delivered,7114.00,2,1,credit_card,9,11,6,17,2017,11,18,Saturday
delivered,25721.00,2,1,credit_card,19,27,16,43,2018,5,23,Wednseday
delivered,69294.00,4,1,credit_card,2,27,-1,26,2017,12,16,Saturday
delivered,16415.00,3,1,credit_card,1,8,16,24,2018,1,28,Sunday
delivered,201.00,1,1,credit_card,4,11,9,20,2018,2,23,Friday
delivered,27258.00,1,1,boleto,1,3,14,17,2017,12,11,Monday
delivered,8736.00,4,1,credit_card,4,19,13,32,2017,12,15,Friday
delivered,1654.00,1,5,voucher,1,2,15,17,2017,9,17,Sunday
delivered,8414.00,4,1,credit_card,0,6,8,14,2018,7,25,Wednseday
delivered,4328.00,1,1,boleto,9,12,19,31,2018,2,12,Monday
delivered,4795.00,1,1,credit_card,2,13,11,24,2017,5,6,Saturday
delivered,10437.00,1,1,boleto,7,19,3,22,2017,11,30,Thursday
delivered,6961.00,1,1,credit_card,4,11,20,31,2017,2,10,Friday
delivered,18159.00,4,1,credit_card,3,18,13,31,2018,7,20,Friday
delivered,14501.00,3,1,credit_card,1,15,28,43,2018,6,3,Sunday
delivered,143292.00,10,1,credit_card,5,8,47,55,2016,10,5,Wednseday
delivered,14818.00,6,1,credit_card,3,6,21,27,2018,1,26,Friday
delivered,17153.00,1,1,credit_card,1,12,12,24,2018,4,24,Tuesday
delivered,8615.00,3,1,credit_card,4,25,8,33,2017,12,15,Friday
delivered,2279.00,1,1,debit_card,3,6,27,33,2018,8,3,Friday
delivered,5816.00,2,1,credit_card,3,27,5,32,2017,12,1,Friday
delivered,4453.00,1,1,credit_card,10,13,12,25,2018,7,22,Sunday
delivered,6669.00,1,1,boleto,0,10,6,16,2018,8,8,Wednseday
delivered,41331.00,8,1,credit_card,1,9,20,29,2018,4,8,Sunday
delivered,20507.00,2,1,credit_card,1,28,-6,22,2018,3,12,Monday
delivered,3609.00,1,1,credit_card,2,4,6,10,2018,5,7,Monday
delivered,6644.00,1,1,boleto,1,26,9,35,2017,8,31,Thursday
delivered,16162.00,1,1,boleto,3,13,34,47,2017,6,16,Friday
delivered,2775.00,1,1,credit_card,1,12,12,24,2017,5,7,Sunday
delivered,8193.00,1,2,voucher,1,4,3,7,2018,8,2,Thursday
delivered,6000.00,2,1,credit_card,1,16,15,31,2018,4,9,Monday
delivered,6423.00,2,1,credit_card,0,1,12,13,2017,11,16,Thursday
delivered,3351.00,3,1,credit_card,4,14,25,39,2018,4,13,Friday
delivered,8524.00,1,1,voucher,1,16,4,20,2018,3,21,Wednseday
delivered,10000.00,1,2,voucher,2,18,14,32,2017,8,5,Saturday
delivered,1500.00,1,3,voucher,10,13,14,27,2017,5,6,Saturday
delivered,6547.00,1,1,credit_card,27,30,-6,24,2017,10,24,Tuesday
delivered,6511.00,6,1,credit_card,8,19,15,34,2017,12,28,Thursday
delivered,18834.00,10,1,credit_card,3,5,19,24,2018,1,26,Friday
delivered,1786.00,1,1,credit_card,3,9,9,18,2017,6,10,Saturday
delivered,56966.00,10,1,credit_card,2,7,8,15,2018,1,11,Thursday
delivered,6310.00,2,1,credit_card,5,36,-4,32,2017,10,12,Thursday
delivered,3942.00,1,1,boleto,4,11,23,34,2017,8,3,Thursday
delivered,7403.00,1,1,boleto,6,12,16,28,2018,6,13,Wednseday
delivered,3659.00,1,1,credit_card,6,8,8,16,2018,3,6,Tuesday
delivered,4905.00,1,1,boleto,3,32,-8,24,2018,1,29,Monday
delivered,16369.00,7,1,credit_card,2,8,10,18,2017,10,22,Sunday
delivered,118051.00,10,1,credit_card,3,5,8,13,2017,10,27,Friday
delivered,70684.00,1,1,credit_card,1,8,14,22,2018,7,16,Monday
delivered,4815.00,4,1,credit_card,28,41,8,49,2018,1,11,Thursday
delivered,8581.00,1,1,credit_card,2,11,19,30,2018,6,16,Saturday
delivered,19158.00,6,1,credit_card,8,17,27,44,2018,5,28,Monday
delivered,2638.00,1,1,credit_card,14,16,-2,14,2017,11,13,Monday
delivered,5591.00,1,1,credit_card,5,14,14,28,2017,11,17,Friday
delivered,8606.00,6,1,credit_card,1,7,11,18,2017,8,14,Monday
delivered,36029.00,10,1,credit_card,1,8,25,33,2017,3,1,Wednseday
delivered,1.00,1,2,voucher,6,8,13,21,2018,7,18,Wednseday
delivered,6557.00,1,1,credit_card,4,8,17,25,2017,1,22,Sunday
delivered,8890.00,3,1,credit_card,1,5,12,17,2018,7,23,Monday
delivered,68096.00,10,1,credit_card,2,8,34,42,2017,4,3,Monday
delivered,4096.00,1,1,credit_card,1,2,14,16,2018,7,3,Tuesday
delivered,14900.00,2,1,credit_card,2,14,7,21,2018,4,5,Thursday
delivered,7570.00,7,1,credit_card,6,15,8,23,2017,5,16,Tuesday
delivered,35690.00,4,1,credit_card,10,24,2,26,2017,7,14,Friday
delivered,4086.00,2,1,credit_card,2,7,17,24,2018,6,9,Saturday
delivered,19193.00,3,1,credit_card,4,10,43,53,2017,1,22,Sunday
delivered,3272.00,1,1,credit_card,3,9,14,23,2017,5,14,Sunday
delivered,3277.00,1,1,boleto,1,9,2,11,2017,8,28,Monday
delivered,3705.00,3,1,credit_card,4,23,4,27,2018,3,17,Saturday
delivered,3800.00,1,1,credit_card,1,9,10,19,2018,6,7,Thursday
delivered,3175.00,1,1,credit_card,3,4,6,10,2018,7,27,Friday
delivered,5090.00,2,1,credit_card,1,4,21,25,2018,1,25,Thursday
delivered,13364.00,1,1,credit_card,7,10,4,14,2017,6,6,Tuesday
delivered,7283.00,1,1,boleto,2,31,-7,24,2018,4,16,Monday
delivered,13060.00,1,1,boleto,3,7,10,17,2018,7,16,Monday
delivered,7114.00,1,1,credit_card,2,18,12,30,2018,2,4,Sunday
delivered,29286.00,1,1,credit_card,1,4,6,10,2018,8,12,Sunday
delivered,12915.00,2,1,credit_card,1,8,16,24,2018,4,23,Monday
delivered,2300.00,1,1,boleto,7,15,10,25,2018,5,17,Thursday
delivered,4909.00,1,1,credit_card,6,13,8,21,2017,3,15,Wednseday
delivered,11102.00,1,1,boleto,1,5,23,28,2018,8,20,Monday
delivered,6723.00,1,1,credit_card,3,12,9,21,2017,11,24,Friday
delivered,4666.00,4,1,credit_card,3,10,16,26,2017,9,8,Friday
delivered,4512.00,4,1,credit_card,1,9,19,28,2018,2,7,Wednseday
delivered,10888.00,7,1,credit_card,2,5,13,18,2018,6,10,Sunday
delivered,10407.00,1,1,boleto,2,22,13,35,2017,4,18,Tuesday
delivered,18408.00,3,1,credit_card,0,3,19,22,2017,4,12,Wednseday
delivered,16401.00,1,1,boleto,2,9,21,30,2017,10,29,Sunday
delivered,12900.00,7,1,credit_card,2,19,1,20,2018,2,21,Wednseday
delivered,8428.00,2,1,credit_card,1,35,-17,18,2018,3,1,Thursday
delivered,5390.00,1,1,debit_card,3,6,34,40,2018,4,13,Friday
delivered,16707.00,1,1,boleto,3,18,20,38,2017,8,11,Friday
delivered,9340.00,2,1,credit_card,3,4,8,12,2018,5,13,Sunday
delivered,14916.00,3,1,credit_card,5,15,14,29,2018,2,1,Thursday
delivered,14399.00,1,1,credit_card,0,8,13,21,2017,5,18,Thursday
delivered,13180.00,1,1,boleto,1,6,0,6,2018,8,22,Wednseday
delivered,6305.00,1,1,boleto,1,9,14,23,2017,11,7,Tuesday
delivered,3213.00,1,1,boleto,4,27,8,35,2017,6,15,Thursday
delivered,22215.00,5,1,credit_card,3,12,13,25,2017,12,1,Friday
delivered,7334.00,2,1,credit_card,1,19,17,36,2018,4,26,Thursday
delivered,13103.00,1,1,credit_card,1,4,20,24,2018,7,22,Sunday
delivered,5769.00,3,1,credit_card,3,4,6,10,2017,5,14,Sunday
delivered,2779.00,1,1,credit_card,3,14,15,29,2017,8,15,Tuesday
delivered,13560.00,1,1,credit_card,1,18,6,24,2018,5,21,Monday
delivered,7608.00,7,1,credit_card,6,13,8,21,2018,2,14,Wednseday
delivered,6812.00,1,1,boleto,6,11,28,39,2017,1,5,Thursday
delivered,11794.00,3,1,credit_card,0,36,-8,28,2017,11,28,Tuesday
delivered,11948.00,4,1,credit_card,1,2,18,20,2017,7,26,Wednseday
delivered,14973.00,1,1,boleto,4,6,12,18,2018,8,17,Friday
delivered,9380.00,1,1,boleto,1,13,14,27,2017,1,26,Thursday
delivered,7651.00,2,1,credit_card,4,18,8,26,2018,3,16,Friday
delivered,7303.00,1,1,boleto,3,15,17,32,2017,11,26,Sunday
delivered,8988.00,2,1,credit_card,1,6,9,15,2018,8,2,Thursday
delivered,11077.00,2,1,credit_card,3,8,23,31,2017,7,10,Monday
delivered,2347.00,1,1,credit_card,3,14,6,20,2018,7,13,Friday
delivered,4823.00,1,1,credit_card,0,34,9,43,2017,2,22,Wednseday
delivered,15980.00,2,1,credit_card,2,12,11,23,2017,7,2,Sunday
delivered,3636.00,1,1,boleto,0,5,23,28,2018,4,25,Wednseday
delivered,5388.00,1,1,credit_card,1,6,7,13,2017,8,10,Thursday
delivered,6291.00,1,1,boleto,1,8,9,17,2017,4,24,Monday
