TIME_TO_CARRY,TIME_TO_DELIVER_ORDER,COMPARE_ESTIMATED_TO_DELIVERED_TIME,ESTIMATED_TIME_TO_DELIVERY,ORDER_PURCHASE_YEAR,ORDER_PURCHASE_MONTH,ORDER_PURCHASE_DAY,ORDER_PURCHASE_WEEKDAY
3,7,20,27,2018,6,8,Friday
2,8,20,28,2017,9,20,Wednseday
1,11,19,30,2017,11,27,Monday
3,4,6,10,2018,5,11,Friday
1,4,29,33,2018,6,24,Sunday
0,14,22,36,2017,3,6,Monday
1,7,4,11,2018,4,26,Thursday
1,8,21,29,2018,7,15,Sunday
12,19,28,47,2018,5,30,Wednseday
2,5,11,16,2017,9,11,Monday
4,5,6,11,2018,4,15,Sunday
2,10,23,33,2018,1,13,Saturday
3,12,16,28,2018,4,4,Wednseday
2,22,11,33,2018,2,28,Wednseday
2,6,17,23,2017,4,22,Saturday
1,8,4,12,2017,9,13,Wednseday
0,2,13,15,2018,1,18,Thursday
16,20,7,27,2017,3,14,Tuesday
2,20,10,30,2017,12,20,Wednseday
1,7,24,31,2017,12,4,Monday
6,10,12,22,2018,3,29,Thursday
4,5,13,18,2018,3,15,Thursday
3,23,-1,22,2018,5,15,Tuesday
3,11,16,27,2018,7,13,Friday
0,18,32,50,2017,4,27,Thursday
5,7,14,21,2017,12,6,Wednseday
1,8,18,26,2017,11,30,Thursday
1,2,7,9,2018,7,22,Sunday
6,15,3,18,2018,5,17,Thursday
3,16,14,30,2017,9,27,Wednseday
2,13,16,29,2018,2,5,Monday
4,13,7,20,2017,11,16,Thursday
5,14,12,26,2018,1,31,Wednseday
2,7,0,7,2018,8,8,Wednseday
2,13,16,29,2017,12,21,Thursday
3,11,26,37,2018,3,18,Sunday
6,12,27,39,2017,1,5,Thursday
14,24,1,25,2017,11,24,Friday
2,10,16,26,2017,12,24,Sunday
4,14,13,27,2018,1,25,Thursday
5,10,16,26,2018,6,16,Saturday
1,7,20,27,2018,1,23,Tuesday
1,81,-49,32,2018,2,1,Thursday
2,9,27,36,2018,6,6,Wednseday
2,6,16,22,2018,1,30,Tuesday
0,7,22,29,2018,1,10,Wednseday
7,12,25,37,2017,2,8,Wednseday
2,4,20,24,2018,6,30,Saturday
5,11,4,15,2018,7,12,Thursday
1,7,8,15,2018,5,15,Tuesday
2,12,15,27,2018,6,16,Saturday
3,4,1,5,2018,7,28,Saturday
6,14,6,20,2017,11,28,Tuesday
1,2,23,25,2018,6,3,Sunday
4,10,7,17,2018,5,7,Monday
14,22,5,27,2018,1,24,Wednseday
0,11,22,33,2018,6,28,Thursday
1,14,12,26,2018,8,1,Wednseday
3,25,8,33,2017,11,24,Friday
2,10,12,22,2018,7,23,Monday
1,2,8,10,2018,4,3,Tuesday
5,14,8,22,2018,3,15,Thursday
3,11,9,20,2018,8,3,Friday
3,6,34,40,2017,1,21,Saturday
2,7,20,27,2017,9,26,Tuesday
1,9,12,21,2017,9,13,Wednseday
0,23,26,49,2018,5,30,Wednseday
0,2,11,13,2017,6,27,Tuesday
9,20,11,31,2017,5,23,Tuesday
1,6,15,21,2017,8,23,Wednseday
16,27,-7,20,2017,5,20,Saturday
0,10,10,20,2017,7,28,Friday
1,2,2,4,2018,8,20,Monday
0,13,12,25,2018,2,9,Friday
1,25,9,34,2018,1,2,Tuesday
1,9,17,26,2017,8,9,Wednseday
4,6,5,11,2018,8,9,Thursday
8,20,16,36,2017,4,19,Wednseday
1,8,19,27,2017,8,17,Thursday
2,9,16,25,2018,7,1,Sunday
5,14,14,28,2017,10,11,Wednseday
1,12,8,20,2018,5,9,Wednseday
1,6,9,15,2018,7,24,Tuesday
1,11,0,11,2017,5,8,Monday
5,11,16,27,2018,3,29,Thursday
3,28,4,32,2018,4,22,Sunday
3,8,15,23,2018,7,22,Sunday
5,10,11,21,2018,7,6,Friday
7,14,17,31,2017,5,29,Monday
2,9,22,31,2018,5,14,Monday
5,11,52,63,2016,10,5,Wednseday
2,11,10,21,2018,3,7,Wednseday
4,8,3,11,2017,11,6,Monday
11,20,8,28,2017,5,19,Friday
3,7,13,20,2017,12,16,Saturday
2,16,15,31,2018,6,23,Saturday
0,14,18,32,2018,3,26,Monday
4,11,11,22,2017,8,10,Thursday
4,7,22,29,2017,12,7,Thursday
1,9,10,19,2017,10,18,Wednseday
2,6,29,35,2018,5,8,Tuesday
0,5,15,20,2017,5,11,Thursday
1,2,12,14,2018,1,9,Tuesday
3,8,19,27,2018,7,3,Tuesday
1,8,9,17,2017,10,17,Tuesday
0,7,17,24,2017,9,8,Friday
0,4,24,28,2017,7,17,Monday
1,7,21,28,2018,8,21,Tuesday
5,10,2,12,2018,3,8,Thursday
3,13,1,14,2017,10,31,Tuesday
1,8,20,28,2017,9,11,Monday
4,14,6,20,2017,10,12,Thursday
2,9,12,21,2018,8,6,Monday
3,5,8,13,2018,6,16,Saturday
3,23,10,33,2018,2,17,Saturday
2,29,-4,25,2018,2,5,Monday
13,20,37,57,2017,1,25,Wednseday
4,17,15,32,2018,6,15,Friday
2,16,21,37,2017,1,14,Saturday
2,10,9,19,2018,8,1,Wednseday
0,19,1,20,2018,3,14,Wednseday
1,6,9,15,2018,1,17,Wednseday
3,6,4,10,2018,7,20,Friday
1,3,16,19,2018,7,4,Wednseday
5,26,1,27,2017,4,13,Thursday
2,3,10,13,2018,7,24,Tuesday
1,12,14,26,2017,7,5,Wednseday
3,7,18,25,2018,5,25,Friday
5,12,13,25,2017,10,12,Thursday
5,13,12,25,2017,12,1,Friday
2,6,4,10,2018,8,21,Tuesday
4,29,-4,25,2017,11,2,Thursday
3,7,17,24,2017,6,23,Friday
7,11,8,19,2018,5,10,Thursday
1,6,10,16,2017,9,13,Wednseday
1,2,14,16,2018,4,11,Wednseday
4,18,8,26,2017,11,3,Friday
1,7,9,16,2018,3,7,Wednseday
4,6,13,19,2018,5,3,Thursday
4,8,15,23,2018,1,1,Monday
16,22,15,37,2017,9,3,Sunday
1,2,7,9,2018,7,11,Wednseday
1,8,17,25,2018,7,30,Monday
2,24,-4,20,2018,2,15,Thursday
1,3,1,4,2018,8,27,Monday
2,14,11,25,2017,2,6,Monday
1,7,22,29,2018,1,16,Tuesday
0,3,7,10,2018,5,18,Friday
2,4,19,23,2018,1,22,Monday
2,9,1,10,2018,8,5,Sunday
1,9,10,19,2017,11,26,Sunday
2,9,14,23,2018,1,3,Wednseday
5,6,7,13,2017,8,31,Thursday
1,2,13,15,2018,6,14,Thursday
1,11,11,22,2017,11,16,Thursday
5,17,15,32,2017,8,26,Saturday
2,4,12,16,2018,6,5,Tuesday
4,10,9,19,2017,3,4,Saturday
3,6,8,14,2017,7,4,Tuesday
8,10,11,21,2018,4,24,Tuesday
1,10,8,18,2017,11,20,Monday
0,17,14,31,2018,5,7,Monday
2,4,21,25,2017,7,31,Monday
8,15,20,35,2018,5,31,Thursday
2,4,18,22,2017,7,24,Monday
4,11,15,26,2017,7,27,Thursday
6,24,4,28,2017,11,28,Tuesday
2,13,24,37,2018,1,23,Tuesday
2,8,1,9,2018,8,19,Sunday
2,4,21,25,2018,5,26,Saturday
1,6,20,26,2017,9,21,Thursday
0,20,15,35,2017,12,20,Wednseday
1,22,9,31,2017,8,28,Monday
1,6,14,20,2017,10,17,Tuesday
4,6,6,12,2018,3,3,Saturday
4,7,23,30,2018,6,23,Saturday
7,28,1,29,2017,9,20,Wednseday
10,22,2,24,2017,3,6,Monday
2,3,5,8,2018,8,7,Tuesday
3,5,18,23,2017,4,15,Saturday
4,10,14,24,2018,4,15,Sunday
1,13,15,28,2017,9,11,Monday
5,14,17,31,2017,2,25,Saturday
3,11,20,31,2017,3,24,Friday
0,2,7,9,2018,4,30,Monday
5,8,11,19,2017,3,8,Wednseday
2,21,3,24,2018,2,17,Saturday
1,20,0,20,2018,5,16,Wednseday
0,75,-47,28,2018,1,19,Friday
1,8,15,23,2018,4,16,Monday
4,21,13,34,2018,5,5,Saturday
1,13,9,22,2017,6,20,Tuesday
2,5,12,17,2018,4,28,Saturday
9,11,6,17,2017,11,18,Saturday
19,27,16,43,2018,5,23,Wednseday
2,27,-1,26,2017,12,16,Saturday
1,8,16,24,2018,1,28,Sunday
4,11,9,20,2018,2,23,Friday
1,3,14,17,2017,12,11,Monday
4,19,13,32,2017,12,15,Friday
1,2,15,17,2017,9,17,Sunday
0,6,8,14,2018,7,25,Wednseday
9,12,19,31,2018,2,12,Monday
2,13,11,24,2017,5,6,Saturday
7,19,3,22,2017,11,30,Thursday
4,11,20,31,2017,2,10,Friday
3,18,13,31,2018,7,20,Friday
1,15,28,43,2018,6,3,Sunday
5,8,47,55,2016,10,5,Wednseday
3,6,21,27,2018,1,26,Friday
1,12,12,24,2018,4,24,Tuesday
4,25,8,33,2017,12,15,Friday
3,6,27,33,2018,8,3,Friday
3,27,5,32,2017,12,1,Friday
10,13,12,25,2018,7,22,Sunday
0,10,6,16,2018,8,8,Wednseday
1,9,20,29,2018,4,8,Sunday
1,28,-6,22,2018,3,12,Monday
2,4,6,10,2018,5,7,Monday
1,26,9,35,2017,8,31,Thursday
3,13,34,47,2017,6,16,Friday
1,12,12,24,2017,5,7,Sunday
1,4,3,7,2018,8,2,Thursday
1,16,15,31,2018,4,9,Monday
0,1,12,13,2017,11,16,Thursday
4,14,25,39,2018,4,13,Friday
1,16,4,20,2018,3,21,Wednseday
2,18,14,32,2017,8,5,Saturday
10,13,14,27,2017,5,6,Saturday
27,30,-6,24,2017,10,24,Tuesday
8,19,15,34,2017,12,28,Thursday
3,5,19,24,2018,1,26,Friday
3,9,9,18,2017,6,10,Saturday
2,7,8,15,2018,1,11,Thursday
5,36,-4,32,2017,10,12,Thursday
4,11,23,34,2017,8,3,Thursday
6,12,16,28,2018,6,13,Wednseday
6,8,8,16,2018,3,6,Tuesday
3,32,-8,24,2018,1,29,Monday
2,8,10,18,2017,10,22,Sunday
3,5,8,13,2017,10,27,Friday
1,8,14,22,2018,7,16,Monday
28,41,8,49,2018,1,11,Thursday
2,11,19,30,2018,6,16,Saturday
8,17,27,44,2018,5,28,Monday
14,16,-2,14,2017,11,13,Monday
5,14,14,28,2017,11,17,Friday
1,7,11,18,2017,8,14,Monday
1,8,25,33,2017,3,1,Wednseday
6,8,13,21,2018,7,18,Wednseday
4,8,17,25,2017,1,22,Sunday
1,5,12,17,2018,7,23,Monday
2,8,34,42,2017,4,3,Monday
1,2,14,16,2018,7,3,Tuesday
2,14,7,21,2018,4,5,Thursday
6,15,8,23,2017,5,16,Tuesday
10,24,2,26,2017,7,14,Friday
2,7,17,24,2018,6,9,Saturday
4,10,43,53,2017,1,22,Sunday
3,9,14,23,2017,5,14,Sunday
1,9,2,11,2017,8,28,Monday
4,23,4,27,2018,3,17,Saturday
1,9,10,19,2018,6,7,Thursday
3,4,6,10,2018,7,27,Friday
1,4,21,25,2018,1,25,Thursday
7,10,4,14,2017,6,6,Tuesday
2,31,-7,24,2018,4,16,Monday
3,7,10,17,2018,7,16,Monday
2,18,12,30,2018,2,4,Sunday
1,4,6,10,2018,8,12,Sunday
1,8,16,24,2018,4,23,Monday
7,15,10,25,2018,5,17,Thursday
6,13,8,21,2017,3,15,Wednseday
1,5,23,28,2018,8,20,Monday
3,12,9,21,2017,11,24,Friday
3,10,16,26,2017,9,8,Friday
1,9,19,28,2018,2,7,Wednseday
2,5,13,18,2018,6,10,Sunday
2,22,13,35,2017,4,18,Tuesday
0,3,19,22,2017,4,12,Wednseday
2,9,21,30,2017,10,29,Sunday
2,19,1,20,2018,2,21,Wednseday
1,35,-17,18,2018,3,1,Thursday
3,6,34,40,2018,4,13,Friday
3,18,20,38,2017,8,11,Friday
3,4,8,12,2018,5,13,Sunday
5,15,14,29,2018,2,1,Thursday
0,8,13,21,2017,5,18,Thursday
1,6,0,6,2018,8,22,Wednseday
1,9,14,23,2017,11,7,Tuesday
4,27,8,35,2017,6,15,Thursday
3,12,13,25,2017,12,1,Friday
1,19,17,36,2018,4,26,Thursday
1,4,20,24,2018,7,22,Sunday
3,4,6,10,2017,5,14,Sunday
3,14,15,29,2017,8,15,Tuesday
1,18,6,24,2018,5,21,Monday
6,13,8,21,2018,2,14,Wednseday
6,11,28,39,2017,1,5,Thursday
0,36,-8,28,2017,11,28,Tuesday
1,2,18,20,2017,7,26,Wednseday
4,6,12,18,2018,8,17,Friday
1,13,14,27,2017,1,26,Thursday
4,18,8,26,2018,3,16,Friday
3,15,17,32,2017,11,26,Sunday
1,6,9,15,2018,8,2,Thursday
3,8,23,31,2017,7,10,Monday
3,14,6,20,2018,7,13,Friday
0,34,9,43,2017,2,22,Wednseday
2,12,11,23,2017,7,2,Sunday
0,5,23,28,2018,4,25,Wednseday
1,6,7,13,2017,8,10,Thursday
1,8,9,17,2017,4,24,Monday
3,6,12,18,2017,12,1,Friday
3,10,11,21,2017,11,29,Wednseday
0,1,16,17,2017,6,2,Friday
2,6,10,16,2017,9,12,Tuesday
2,8,10,18,2017,5,22,Monday
1,5,16,21,2018,5,17,Thursday
3,7,13,20,2017,8,11,Friday
3,13,20,33,2018,2,3,Saturday
1,8,15,23,2017,10,15,Sunday
1,20,-1,19,2018,5,13,Sunday
2,8,7,15,2018,8,1,Wednseday
3,13,13,26,2017,4,22,Saturday
3,19,7,26,2017,12,9,Saturday
3,4,8,12,2017,9,9,Saturday
1,2,21,23,2018,5,21,Monday
13,22,13,35,2017,5,2,Tuesday
2,19,8,27,2017,5,31,Wednseday
0,1,19,20,2017,12,28,Thursday
2,3,11,14,2018,2,27,Tuesday
2,3,6,9,2018,8,25,Saturday
1,11,5,16,2018,7,16,Monday
8,31,-5,26,2018,2,25,Sunday
3,10,15,25,2017,11,11,Saturday
2,6,11,17,2018,6,12,Tuesday
6,14,21,35,2017,1,31,Tuesday
0,1,2,3,2018,8,28,Tuesday
2,7,10,17,2018,8,11,Saturday
4,12,9,21,2017,11,10,Friday
1,13,10,23,2017,3,1,Wednseday
3,18,6,24,2018,3,19,Monday
0,6,20,26,2017,10,11,Wednseday
4,17,6,23,2018,3,10,Saturday
1,5,14,19,2018,3,14,Wednseday
3,13,19,32,2017,5,20,Saturday
3,10,19,29,2017,7,2,Sunday
2,21,17,38,2018,2,26,Monday
2,3,8,11,2018,3,11,Sunday
1,4,19,23,2018,4,23,Monday
0,2,11,13,2018,7,4,Wednseday
1,7,14,21,2018,1,18,Thursday
3,10,13,23,2017,4,30,Sunday
1,4,15,19,2017,7,30,Sunday
2,13,15,28,2018,5,8,Tuesday
2,10,13,23,2018,2,19,Monday
13,18,8,26,2018,8,9,Thursday
0,5,16,21,2017,3,22,Wednseday
2,3,15,18,2018,4,22,Sunday
1,14,10,24,2018,5,21,Monday
1,11,12,23,2018,2,19,Monday
2,10,-2,8,2018,8,12,Sunday
1,27,7,34,2017,4,12,Wednseday
1,4,18,22,2018,6,21,Thursday
4,17,10,27,2017,10,20,Friday
0,7,26,33,2018,6,15,Friday
1,7,1,8,2018,8,23,Thursday
1,8,17,25,2018,4,29,Sunday
1,7,15,22,2017,8,30,Wednseday
2,4,22,26,2017,4,8,Saturday
2,7,9,16,2018,5,9,Wednseday
3,38,1,39,2018,2,23,Friday
2,27,-4,23,2017,11,29,Wednseday
1,6,9,15,2018,5,17,Thursday
1,5,25,30,2018,7,1,Sunday
2,3,7,10,2018,4,2,Monday
7,11,10,21,2017,2,24,Friday
2,13,20,33,2017,10,4,Wednseday
2,13,17,30,2018,6,20,Wednseday
1,9,15,24,2018,1,14,Sunday
2,5,7,12,2017,11,19,Sunday
2,3,10,13,2017,11,21,Tuesday
4,5,9,14,2018,1,26,Friday
3,9,13,22,2017,6,27,Tuesday
4,15,15,30,2018,1,15,Monday
7,11,24,35,2018,3,29,Thursday
1,21,6,27,2018,5,16,Wednseday
5,10,14,24,2018,5,11,Friday
5,6,8,14,2017,8,11,Friday
1,6,8,14,2018,5,10,Thursday
3,16,14,30,2017,10,22,Sunday
4,6,12,18,2018,4,12,Thursday
1,2,14,16,2018,5,20,Sunday
11,16,0,16,2018,8,4,Saturday
3,9,14,23,2018,1,16,Tuesday
9,13,16,29,2018,1,11,Thursday
5,6,7,13,2017,7,26,Wednseday
8,20,13,33,2018,1,17,Wednseday
3,10,19,29,2018,1,16,Tuesday
3,12,14,26,2017,7,14,Friday
4,31,8,39,2017,7,21,Friday
1,3,10,13,2018,7,4,Wednseday
2,18,14,32,2017,10,29,Sunday
2,13,24,37,2017,8,5,Saturday
1,2,8,10,2018,7,23,Monday
2,3,6,9,2018,8,11,Saturday
2,7,17,24,2017,9,25,Monday
1,18,14,32,2018,3,11,Sunday
3,15,7,22,2017,5,1,Monday
7,24,-3,21,2018,2,9,Friday
3,9,11,20,2017,3,28,Tuesday
7,41,-7,34,2018,3,9,Friday
1,4,19,23,2018,6,24,Sunday
1,7,33,40,2018,6,6,Wednseday
11,26,25,51,2018,5,26,Saturday
4,10,15,25,2017,5,13,Saturday
2,36,-7,29,2017,8,14,Monday
1,6,16,22,2018,4,17,Tuesday
5,15,8,23,2018,4,29,Sunday
7,10,2,12,2017,10,20,Friday
1,16,-6,10,2018,3,19,Monday
1,23,6,29,2018,3,28,Wednseday
2,3,2,5,2018,8,4,Saturday
4,22,4,26,2018,7,26,Thursday
0,19,8,27,2018,5,17,Thursday
1,7,12,19,2018,5,16,Wednseday
7,12,14,26,2017,7,19,Wednseday
3,15,22,37,2018,3,18,Sunday
1,18,12,30,2017,10,1,Sunday
3,9,5,14,2017,11,7,Tuesday
6,17,7,24,2017,7,29,Saturday
1,6,14,20,2018,8,2,Thursday
4,18,10,28,2017,12,22,Friday
1,2,15,17,2018,1,7,Sunday
1,17,26,43,2017,2,7,Tuesday
4,7,19,26,2017,4,13,Thursday
1,3,22,25,2017,6,16,Friday
2,13,12,25,2017,12,3,Sunday
16,24,-5,19,2018,7,11,Wednseday
11,12,6,18,2018,7,13,Friday
1,12,3,15,2018,7,29,Sunday
4,16,21,37,2018,4,21,Saturday
2,23,-3,20,2017,11,25,Saturday
0,6,5,11,2017,6,19,Monday
7,16,8,24,2017,4,11,Tuesday
1,8,12,20,2017,11,28,Tuesday
4,4,8,12,2018,3,2,Friday
2,32,-1,31,2017,11,20,Monday
4,5,12,17,2017,11,24,Friday
1,6,17,23,2017,6,13,Tuesday
2,17,7,24,2018,4,22,Sunday
1,13,16,29,2017,1,26,Thursday
0,5,20,25,2018,5,14,Monday
4,26,8,34,2017,9,14,Thursday
2,11,24,35,2018,1,11,Thursday
0,6,21,27,2017,10,26,Thursday
2,11,17,28,2018,4,5,Thursday
3,4,7,11,2017,9,18,Monday
3,12,12,24,2017,7,28,Friday
6,12,14,26,2017,5,19,Friday
1,6,16,22,2017,2,28,Tuesday
3,6,12,18,2017,9,8,Friday
0,7,15,22,2017,8,1,Tuesday
2,4,19,23,2018,6,23,Saturday
1,2,6,8,2018,8,20,Monday
3,24,1,25,2018,6,8,Friday
1,15,14,29,2018,7,11,Wednseday
2,7,13,20,2018,5,8,Tuesday
2,8,20,28,2018,2,12,Monday
3,5,20,25,2017,2,4,Saturday
1,3,14,17,2018,6,18,Monday
1,3,6,9,2018,7,22,Sunday
2,4,12,16,2018,5,19,Saturday
1,2,14,16,2018,7,24,Tuesday
0,1,11,12,2017,11,22,Wednseday
2,5,8,13,2018,8,4,Saturday
2,9,18,27,2017,9,23,Saturday
2,6,21,27,2017,3,1,Wednseday
1,28,4,32,2018,4,26,Thursday
1,2,9,11,2018,6,18,Monday
2,9,15,24,2017,4,10,Monday
5,10,14,24,2017,6,30,Friday
1,5,22,27,2018,6,14,Thursday
6,24,-7,17,2018,3,20,Tuesday
18,20,35,55,2016,10,7,Friday
1,5,7,12,2017,11,22,Wednseday
4,12,10,22,2017,11,12,Sunday
2,7,22,29,2018,1,31,Wednseday
4,7,12,19,2018,5,3,Thursday
6,21,4,25,2018,5,5,Saturday
1,20,5,25,2017,8,24,Thursday
2,10,17,27,2017,8,15,Tuesday
2,16,3,19,2018,3,24,Saturday
0,5,9,14,2018,8,10,Friday
2,8,10,18,2017,9,3,Sunday
1,6,14,20,2018,7,25,Wednseday
5,13,14,27,2018,1,24,Wednseday
2,30,9,39,2017,2,11,Saturday
2,10,17,27,2018,1,6,Saturday
1,8,28,36,2018,7,4,Wednseday
1,8,11,19,2018,8,16,Thursday
3,10,15,25,2017,2,26,Sunday
18,33,-7,26,2017,4,7,Friday
2,9,12,21,2018,3,26,Monday
4,10,12,22,2018,1,14,Sunday
4,12,12,24,2017,7,18,Tuesday
4,25,-3,22,2018,4,5,Thursday
9,30,14,44,2018,5,28,Monday
3,18,22,40,2018,6,15,Friday
3,4,6,10,2017,9,11,Monday
3,41,-15,26,2018,2,18,Sunday
2,3,12,15,2018,5,1,Tuesday
2,4,8,12,2018,6,16,Saturday
2,4,19,23,2018,1,22,Monday
7,12,17,29,2017,11,29,Wednseday
2,8,15,23,2017,7,30,Sunday
3,5,9,14,2018,3,23,Friday
5,11,23,34,2017,2,10,Friday
3,17,14,31,2018,1,6,Saturday
3,14,12,26,2018,1,26,Friday
6,10,14,24,2017,8,29,Tuesday
8,10,8,18,2018,8,5,Sunday
0,3,14,17,2018,2,16,Friday
6,8,11,19,2017,11,15,Wednseday
1,17,-1,16,2018,7,23,Monday
1,8,15,23,2018,1,31,Wednseday
0,8,16,24,2018,4,30,Monday
5,6,7,13,2017,6,23,Friday
1,4,14,18,2018,8,26,Sunday
1,10,11,21,2017,6,12,Monday
7,16,3,19,2017,8,16,Wednseday
7,14,9,23,2018,1,23,Tuesday
14,19,14,33,2017,8,25,Friday
3,16,17,33,2018,4,7,Saturday
10,14,7,21,2017,4,24,Monday
2,8,6,14,2018,8,20,Monday
4,16,11,27,2017,3,11,Saturday
2,18,28,46,2017,5,6,Saturday
6,7,13,20,2017,12,14,Thursday
1,22,12,34,2018,3,7,Wednseday
7,20,1,21,2018,2,23,Friday
5,32,0,32,2018,2,19,Monday
1,23,3,26,2018,1,7,Sunday
2,10,14,24,2017,11,14,Tuesday
3,21,10,31,2017,12,15,Friday
2,10,14,24,2017,6,4,Sunday
3,31,-2,29,2018,2,12,Monday
1,2,13,15,2017,7,12,Wednseday
2,7,21,28,2018,4,25,Wednseday
1,17,0,17,2017,3,27,Monday
11,15,9,24,2017,12,11,Monday
2,17,10,27,2018,2,27,Tuesday
4,11,13,24,2017,12,4,Monday
2,12,8,20,2018,8,8,Wednseday
1,23,1,24,2018,1,22,Monday
2,10,46,56,2017,1,23,Monday
0,1,7,8,2018,7,11,Wednseday
1,14,14,28,2018,2,8,Thursday
3,6,7,13,2017,7,18,Tuesday
1,29,7,36,2017,5,23,Tuesday
5,8,24,32,2018,7,5,Thursday
4,7,15,22,2018,7,16,Monday
3,12,19,31,2017,12,2,Saturday
1,14,3,17,2018,4,2,Monday
3,45,-12,33,2018,5,11,Friday
7,26,1,27,2018,2,9,Friday
4,11,19,30,2018,5,19,Saturday
1,7,15,22,2017,7,25,Tuesday
6,14,13,27,2017,5,17,Wednseday
6,32,-11,21,2018,2,21,Wednseday
2,3,9,12,2018,3,25,Sunday
1,7,15,22,2018,6,13,Wednseday
5,13,10,23,2017,6,14,Wednseday
2,8,12,20,2018,3,6,Tuesday
5,15,17,32,2017,3,23,Thursday
2,4,12,16,2018,4,11,Wednseday
5,40,-12,28,2018,2,5,Monday
5,12,19,31,2017,5,5,Friday
2,15,9,24,2018,5,5,Saturday
2,7,24,31,2018,2,19,Monday
7,17,4,21,2018,3,1,Thursday
4,11,9,20,2017,11,24,Friday
2,8,3,11,2017,5,29,Monday
1,6,16,22,2018,1,16,Tuesday
3,6,0,6,2018,8,24,Friday
3,5,13,18,2017,11,24,Friday
1,2,8,10,2017,5,14,Sunday
2,9,14,23,2017,3,11,Saturday
4,18,-1,17,2017,11,10,Friday
6,11,8,19,2017,3,9,Thursday
2,21,0,21,2017,3,21,Tuesday
8,14,3,17,2017,4,25,Tuesday
3,10,21,31,2017,3,26,Sunday
7,11,12,23,2018,7,16,Monday
1,24,8,32,2018,5,27,Sunday
1,14,21,35,2018,6,19,Tuesday
0,8,13,21,2017,11,29,Wednseday
4,8,17,25,2017,8,17,Thursday
5,36,-7,29,2017,12,14,Thursday
2,11,16,27,2017,8,8,Tuesday
1,7,15,22,2018,7,19,Thursday
3,22,18,40,2018,6,22,Friday
2,11,23,34,2018,5,26,Saturday
6,13,15,28,2017,4,4,Tuesday
7,12,21,33,2018,1,24,Wednseday
1,6,15,21,2018,7,24,Tuesday
1,7,10,17,2017,11,27,Monday
0,5,3,8,2018,8,8,Wednseday
0,17,5,22,2018,3,12,Monday
3,5,26,31,2017,11,18,Saturday
8,11,-4,7,2018,8,2,Thursday
2,8,6,14,2017,9,18,Monday
0,13,9,22,2017,7,18,Tuesday
4,5,14,19,2018,1,4,Thursday
3,8,7,15,2018,7,16,Monday
4,14,18,32,2017,7,20,Thursday
1,18,14,32,2017,4,27,Thursday
4,8,10,18,2018,3,8,Thursday
4,12,15,27,2017,12,7,Thursday
1,5,14,19,2017,10,29,Sunday
1,8,11,19,2018,3,8,Thursday
2,10,17,27,2018,5,2,Wednseday
1,4,11,15,2018,4,26,Thursday
1,11,13,24,2018,3,25,Sunday
8,28,3,31,2018,5,7,Monday
4,10,15,25,2017,7,28,Friday
1,2,13,15,2018,2,26,Monday
1,8,15,23,2017,11,27,Monday
3,19,1,20,2018,5,18,Friday
1,4,14,18,2017,10,9,Monday
2,8,40,48,2018,6,5,Tuesday
7,13,23,36,2017,3,29,Wednseday
6,17,20,37,2017,12,27,Wednseday
12,14,18,32,2017,7,28,Friday
